,frequency_dry_to_wet_LENS,frequency_dry_to_wet_LENS_quan_0.05,frequency_dry_to_wet_LENS_quan_0.95,frequency_dry_to_wet_CMIP6,frequency_dry_to_wet_CMIP6_quan_0.05,frequency_dry_to_wet_CMIP6_quan_0.95,frequency_dry_to_wet_ERA5,frequency_dry_to_wet_MERRA2,frequency_dry_to_wet_JRA-55,frequency_dry_to_wet_CHIRPS,frequency_dry_to_wet_GPCC,frequency_dry_to_wet_REGEN_LongTermStns,frequency_wet_to_dry_LENS,frequency_wet_to_dry_LENS_quan_0.05,frequency_wet_to_dry_LENS_quan_0.95,frequency_wet_to_dry_CMIP6,frequency_wet_to_dry_CMIP6_quan_0.05,frequency_wet_to_dry_CMIP6_quan_0.95,frequency_wet_to_dry_ERA5,frequency_wet_to_dry_MERRA2,frequency_wet_to_dry_JRA-55,frequency_wet_to_dry_CHIRPS,frequency_wet_to_dry_GPCC,frequency_wet_to_dry_REGEN_LongTermStns,duration_dry_to_wet_LENS,duration_dry_to_wet_LENS_quan_0.05,duration_dry_to_wet_LENS_quan_0.95,duration_dry_to_wet_CMIP6,duration_dry_to_wet_CMIP6_quan_0.05,duration_dry_to_wet_CMIP6_quan_0.95,duration_dry_to_wet_ERA5,duration_dry_to_wet_MERRA2,duration_dry_to_wet_JRA-55,duration_dry_to_wet_CHIRPS,duration_dry_to_wet_GPCC,duration_dry_to_wet_REGEN_LongTermStns,duration_wet_to_dry_LENS,duration_wet_to_dry_LENS_quan_0.05,duration_wet_to_dry_LENS_quan_0.95,duration_wet_to_dry_CMIP6,duration_wet_to_dry_CMIP6_quan_0.05,duration_wet_to_dry_CMIP6_quan_0.95,duration_wet_to_dry_ERA5,duration_wet_to_dry_MERRA2,duration_wet_to_dry_JRA-55,duration_wet_to_dry_CHIRPS,duration_wet_to_dry_GPCC,duration_wet_to_dry_REGEN_LongTermStns,intensity_dry_to_wet_LENS,intensity_dry_to_wet_LENS_quan_0.05,intensity_dry_to_wet_LENS_quan_0.95,intensity_dry_to_wet_CMIP6,intensity_dry_to_wet_CMIP6_quan_0.05,intensity_dry_to_wet_CMIP6_quan_0.95,intensity_dry_to_wet_ERA5,intensity_dry_to_wet_MERRA2,intensity_dry_to_wet_JRA-55,intensity_dry_to_wet_CHIRPS,intensity_dry_to_wet_GPCC,intensity_dry_to_wet_REGEN_LongTermStns,intensity_wet_to_dry_LENS,intensity_wet_to_dry_LENS_quan_0.05,intensity_wet_to_dry_LENS_quan_0.95,intensity_wet_to_dry_CMIP6,intensity_wet_to_dry_CMIP6_quan_0.05,intensity_wet_to_dry_CMIP6_quan_0.95,intensity_wet_to_dry_ERA5,intensity_wet_to_dry_MERRA2,intensity_wet_to_dry_JRA-55,intensity_wet_to_dry_CHIRPS,intensity_wet_to_dry_GPCC,intensity_wet_to_dry_REGEN_LongTermStns
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,0.3157418699186992,0.1964972899728995,0.44727642276422747,0.32198669623059867,0.18923306233062326,0.4642655826558263,0.35747222222222225,0.3362573099415204,0.40880341880341886,,,,0.3389823848238483,0.21090243902439032,0.47364634146341367,0.3545163833456516,0.22621951219512154,0.49804065040650364,0.3251111111111111,0.30052631578947364,0.3817378917378918,,,,20.4134210006189,17.521807530527006,23.0484626374707,20.06366515703666,16.96948271308346,22.9675640550738,20.183893629114916,20.00696669123854,19.584849458921475,,,,20.32046584523361,17.67204223988815,22.73913022541983,20.061755721128744,17.12501352146195,22.816922625255017,20.06256881874114,20.73053677391055,19.7068616060232,,,,3.4251090337954757,3.09827343007846,3.783870583088345,3.3389614433149872,2.916761314860732,3.773141813493365,3.8505032512425332,3.8791009110705694,3.8995627413690976,,,,3.5087370251863477,3.1916430377348326,3.8647918201198443,3.4041493546527186,2.9904468606909402,3.815475759868673,3.8789333139125675,3.891787833321261,4.021486294379689,,,
84,0.3078028455284553,0.1888604336043359,0.4370731707317072,0.3182010347376201,0.18889159891598906,0.4607669376693764,0.34972222222222227,0.3401461988304093,0.39564102564102566,,,,0.3357513550135502,0.21254065040650413,0.4655392953929533,0.3479674796747967,0.21809485094850914,0.48799186991869875,0.34097222222222223,0.31660818713450295,0.39142450142450147,,,,20.44168311888646,17.63560348054875,23.109855671346153,20.173962589550968,17.2019677996337,23.041398092209462,20.25851519018215,20.191306698453545,19.84267889702643,,,,20.362322915114223,17.6104233196381,22.92315411859501,20.15316367588234,17.352773656109616,22.79844910365541,19.977560910468483,20.67555599848606,19.83101488696314,,,,3.4178618925624207,3.105561419030152,3.773209057559268,3.3327145836126024,2.910362566760959,3.765358899635147,3.890043259028469,3.843761176731036,3.8724600580074124,,,,3.495502236595831,3.1883467012070517,3.842920978535242,3.3996780065323406,2.9992671317890736,3.808016045814263,3.896157322079027,3.9133412536121073,3.9223807553715355,,,
82,0.3013956639566396,0.1830921409214091,0.42814363143631423,0.3141906873614191,0.18510027100270993,0.45745528455284523,0.3562222222222222,0.33815789473684205,0.38293447293447297,,,,0.3311815718157182,0.20976693766937682,0.45920189701896963,0.3446129588568613,0.2155663956639563,0.48463414634146296,0.35291666666666666,0.3315497076023392,0.38988603988604,,,,20.468573995898346,17.611315204214517,23.173525014504136,20.218503171101933,17.219436100701426,23.080624186380547,20.188430213872003,20.27999234275357,19.787011828480164,,,,20.37837362702162,17.614117145457588,22.979934292657806,20.181008529877566,17.379690430820336,22.863087211344187,19.92606267194533,20.40010307398984,20.00448846484788,,,,3.4129241783215756,3.0979063092592227,3.767327003241533,3.3467012071841147,2.9265270316493526,3.779384570279406,3.8838074836143246,3.8564896743678205,3.86422013819291,,,,3.492088004993989,3.1827693150762926,3.8422951840780843,3.4098377562872457,3.019711773471166,3.8187524954891034,3.9189896798065504,3.9040128167056505,3.917080241574182,,,
80,0.29972357723577236,0.18160027100270992,0.4261897018970189,0.31209559004680965,0.1814444444444444,0.4567533875338751,0.36061111111111116,0.33543859649122804,0.3721082621082621,,,,0.3286673441734418,0.20904336043360444,0.45685772357723525,0.3412525252525252,0.21215718157181543,0.4796124661246608,0.36441666666666667,0.3383333333333334,0.39039886039886046,,,,20.422644902044336,17.513683573829084,23.167348525336365,20.191347450905123,17.196882032716562,23.061183813779913,20.249694731609893,20.347869393852434,20.103167770294885,,,,20.337162270415334,17.544620032083863,22.97664217842342,20.17499731971868,17.351553490122605,22.873587872919437,19.857059494850315,20.361784752000762,19.997981560732615,,,,3.417731479198147,3.1015311440321853,3.774818729416542,3.359690512819323,2.933860262463611,3.7977782678887118,3.872468075194897,3.8612178472909857,3.8519424524691055,,,,3.4901998614863334,3.1773817748896143,3.8419164811415785,3.422747164988353,3.0227981872810137,3.8369632142954972,3.924258590910563,3.910107218575811,3.9167616530529212,,,
78,0.3025819783197832,0.18388211382113814,0.43034823848238474,0.3146321754126633,0.183170731707317,0.4586449864498643,0.3570833333333334,0.3365204678362573,0.3578062678062678,,0.3039505163119111,0.2530953810774072,0.32868089430894315,0.20939837398373992,0.45664498644986407,0.34099088445429904,0.2099105691056908,0.48146070460704565,0.36897222222222226,0.341140350877193,0.38313390313390316,,0.3038803792180387,0.2687320773513584,20.368007838607873,17.446277254874197,23.16023071799576,20.18315623824475,17.172826812905,23.04778711321772,20.23236025639044,20.22482923618302,20.203995452384863,,17.80084789573878,19.387760929309135,20.286348996043774,17.513570434948104,22.932618147451223,20.195575647380366,17.334397330492124,22.919079602138137,19.83328645003371,20.22689444477235,19.95262700306532,,18.412995512448163,19.324550640581148,3.4386235428079703,3.1200604610487517,3.802895641522465,3.385432745454682,2.9672379170938976,3.8178272672012734,3.8814081374429534,3.8733271601449824,3.868132903207113,,4.009825205350752,3.9598212142379823,3.500872618847766,3.1836007184380897,3.861133326875505,3.445021001121822,3.0475905346965564,3.860466983813602,3.9083650372233545,3.909670640763991,3.904052842664564,,4.069094976275639,4.081408541312256
76,0.31033604336043363,0.18989159891598906,0.4401490514905147,0.32165755112096583,0.18995121951219504,0.4639918699186989,0.36361111111111116,0.34611111111111104,0.3642165242165242,,0.3379931173095294,0.2768557296612852,0.3313516260162602,0.20986043360433615,0.4623685636856365,0.3433663463907366,0.2097479674796746,0.48592140921409177,0.371,0.3496198830409357,0.3820512820512821,,0.34312003229852217,0.29676693573915797,20.340796552198004,17.454010381065512,23.10761238102327,20.213106107432363,17.25248558630267,23.02529929035262,20.174526858970154,20.17165339160674,20.172668856576735,,17.934928469414363,19.770159200427994,20.230602798556866,17.453349439805674,22.87973787719175,20.242720343283764,17.37551932429836,22.958351855808715,19.882314444599633,20.085909395640698,19.98213682402894,,18.110307631917916,19.2853805696667,3.4709919510092906,3.1515188449303544,3.838861224823341,3.4243136667189185,3.0191091475305623,3.845898130847832,3.8890704376385643,3.8833867567679072,3.8914596398912913,,3.9798093406012827,3.9390824765510377,3.5245814327407525,3.20660109248096,3.884300157076428,3.473559806095289,3.0812136943161272,3.88483578466224,3.9033500222471886,3.9014959802568443,3.879225296900777,,4.042485899537569,4.099821080322573
74,0.3222357723577236,0.19863279132791317,0.4552601626016259,0.3332806109879281,0.20160433604336028,0.4759593495934956,0.37816666666666676,0.3617836257309941,0.3737606837606837,,0.3640073160924908,0.3014817980373536,0.3399817073170732,0.2167032520325204,0.47311924119241155,0.3505198324710519,0.21617615176151742,0.49264498644986415,0.37474999999999997,0.3584795321637428,0.38287749287749295,,0.37904607380265704,0.3310618075340298,20.336215412112626,17.509191210470078,23.046183906989903,20.241254374676018,17.362694977331685,22.97279610245816,20.11447396333731,20.163521726392773,20.16194451887708,,18.153489338277673,20.100331532739276,20.213018064763787,17.491561520454738,22.81666743374913,20.27873587797444,17.475927990673707,22.941822352925456,19.998597097141037,20.07934188970084,20.121853431363498,,18.212877865057713,19.277437735544456,3.4951509572295474,3.1812327045249225,3.8566746097678855,3.463099411781645,3.0716901032666293,3.87282715061467,3.8910144682601726,3.88415138314761,3.9087228314702047,,3.954874496535174,3.9344438451376984,3.546520248958375,3.2296655993894463,3.905842457894659,3.504343576190058,3.1214940056660865,3.9087016720312406,3.8965760659733295,3.884077919493022,3.8666475996302228,,4.030246102658022,4.080507161810349
72,0.33751287262872626,0.2111504065040649,0.4745934959349592,0.3479103227395911,0.21479132791327893,0.4912926829268289,0.39272222222222225,0.37999999999999995,0.38096866096866094,,0.38877322564525696,0.3190001130556686,0.3516266937669377,0.2255311653116531,0.48714227642276386,0.3624286770140428,0.22632791327913254,0.5052981029810295,0.3833888888888889,0.36374269005847965,0.37923076923076926,,0.3954425659631673,0.34312835210057435,20.334420291863964,17.579721146375046,22.971409005813104,20.258829152819228,17.456244649052056,22.919895679150994,20.057665441654077,20.08418792579476,20.07987141417692,,18.497788298631146,20.21181914573626,20.211763074324907,17.528729053178658,22.77729758882129,20.289589539761252,17.542702540517325,22.889680346189905,20.05923884028224,20.012441659176176,20.211323352359543,,18.57205262465241,19.459321845486024,3.5282883659374367,3.220927932796384,3.8819286143833427,3.500281579877507,3.1201037084693724,3.9000515475868682,3.900434592370281,3.89027345935179,3.9261086118300272,,3.9337697968214274,3.9200442535081237,3.5714752382632287,3.259942281198379,3.923883791776442,3.535583494178539,3.1588307641912383,3.9307019246926447,3.8933290969870997,3.882070162555596,3.8661296726403283,,4.011834353574564,4.042220615881003
